老朽	老而 衰败 老朽 以终
摇手	机械 上用 手 旋转 轮子 把儿
挡	阻拦 遮蔽 阻 拦 遮
栅	多极 电子管 阴极 电极
靶档	NONE
引河	引水 灌溉 开挖 河道
透雨	指能 田地 中 干土 淋得 湿透 雨
狂风暴雨	指 大风 大雨 比喻 猛烈 声势 处境 险恶
暴风骤雨	暴骤 急速 猛 急 大风雨 比喻 声势浩大 发展 急速 猛烈
疾风暴雨	疾 猛暴 猛烈 形容 风雨 来势 猛 比喻 迅猛 激烈 斗争
凄风苦雨	凄风 寒冷 风 苦雨 久下 成灾 雨 形容 天气 恶劣 比喻 境遇 悲惨 凄凉
苦雨凄风	苦雨 久下 成灾 雨 凄风 寒冷 风 形容 天气 恶劣 比喻 境遇 悲惨 凄凉
斜风细雨	NONE
晴到少云	NONE
露	NONE
露水	动 露出 水
露珠	NONE
寒露	农历 二十四节气 月 日 日
云山雾罩	形容 云雾 弥漫 指人 说话 不着边际
溜	滑行 下滑 冰
感生电流	NONE
感应电流	电磁感应 电流 日常 市电 感生电流 应电流
压缩空气	气泵 空气 压入 容器 压力 高于 大气压 空气 可用 开动 机具
二氧化硫	又称 亚硫酸 酐 化学式  刺激 臭味 无色 气体 易溶 水生成 亚硫酸 催化剂 作用 下易 氧化 成 三氧化硫 工业 上用 燃烧 硫 焙烧 金属 硫化物 矿制 金属 氧化物 时 用于 制 硫酸 洗涤剂 防腐剂 消毒剂 漂白剂
一氧化碳	一种 无色 无味 有害 气体 燃烧 时有 蓝色 火焰 生成 二氧化碳
有味	指 食物 滋味
叮当作响	NONE
叮当	形容 金属 瓷器 撞击 声音
无息	NONE
无声无息	声音 气味 比喻 名声
变奏	带有 节奏 旋律 声 音调 修饰 变调 主题 旋律 再现
藏污纳垢	污垢 肮脏 东西 比喻 隐藏 包容 坏人坏事
篾黄	竹子 层皮
奇花异卉	卉 草 总称 原意 指 希奇 少见 花草 比喻 美妙 文章 作品
名花异草	NONE
奇花异草	原意 指 稀奇 少见 花草 比喻 美妙 文章 作品
蒜黄	不受 阳光 照射 温度 条件 培育 黄色 蒜叶
艾	草本植物 艾蒿 叶有 香味 制成 艾绒 供灸 病用
紫花地丁	NONE
枝枝蔓蔓	NONE
牺牲	供 祭祀 纯色 牲畜 供 盟誓 宴 享用 牲畜
牲	家畜 口 灵 畜
牢	养 牲畜 圈 à 虎 亡羊 补 喻 事后 补救 迟 笼
醒狮	NONE
猛虎	NONE
种牛	专供 繁殖 牛
珍禽异兽	珍贵 重 珍奇 飞禽 罕见 走兽
鸭黄	孵出 小鸭 身上 淡黄色 氄 毛故称
种龟	NONE
摇蚊	NONE
喉结	男子 颈部 前方 隆起 软骨
结喉	男子 颈前 隆起 物 喉结
上颌	口腔 上部
上颚	上颚 单数 一对 位于 上唇 锥 状 坚硬 构造
下颌	脊椎动物 颌 下部 下颌骨 披盖 软部
下巴	下颌 通称
下颚	脊椎动物 鄂骨 又称 下颌
薄唇	NONE
红口白舌	赤口白舌 红楼梦 第九 八回 死 红口 白舌咒 死 作 红口白牙 吕剧 李二嫂 改嫁   张 大娘   红口白牙 糟蹋 孩子 菡子 妈妈 故事 说 红口白牙 咒 活着 活着 一千一万个 活着 参见 赤口白舌
无名指	中指 小指 之间 指头
伪足	NONE
发	交付 送 出分 ～～ 放 行 批发
头发	前额 两耳 颈部 生长 毛
髫	古代 小孩 头上 扎起来 下垂 头发 垂 ～～ 年 指 幼年 龄 龀 指 童年
毛发	体毛 头发
发丝	头发丝
浓眉	黑 密 眉毛
蓄须	留胡须
舍利	作 舍利子 意为 尸体 身骨 佛教 称 释迦牟尼 遗体 火焚 结成 珠 状物 指 高僧 火化 剩下 骨烬
指甲心儿	NONE
吸盘	动物 一种 器官 用以 粘附 抓住 一物 形状 简单 软垫 或盘 呈 凹形 靠拢 一物 空气 压力 作用 粘附
龙肝凤髓	比喻 珍贵 食品
副神经	第十一 脑神经 延髓 发出 分布 颈部 胸部 肌肉 中 主管 咽部 肩部 肌肉 运动
高级神经	NONE
动眼神经	第三 脑神经 大脑 脚 发出 分布 眼球 肌肉 主管 眼球 运动
滑车神经	NONE
脊神经	连接 脊髓 神经 共分 三十一 分布 躯干 腹 侧面 四肢 肌肉 中管 颈部 感觉 运动
迷走神经	第十 脑神经 延髓 发出 分布 头颈 胸腹 等部 调节 内脏 血管 腺体 机能 作用
面神经	第七 脑神经 分布 面部 两侧 主管 面部 肌肉 泪腺 舌下腺 分泌 味觉
交感神经	胸部 腰部 脊髓 发出 神经 脊柱 两侧 串状 交感神经 节 交感神经 节 发出 神经纤维 分布 内脏 腺体 血管 壁上
嗅神经	第一 脑神经 感觉 性 神经 起自 嗅 细胞 相互 分离 无髓 纤维 小束 分成 若干根 嗅丝 人类 约 根 穿过 筛骨 筛板 止于 嗅球 嗅 器官 感觉 性刺激 传导 脑
末梢神经	指自 神经中枢 放射 身体 各器官 神经 功能 感受 外来 刺激 刺激 中枢神经 中枢神经 命令 各部 组织 主管 各器官 感觉 运动
脑神经	脑颅 底部 延髓 脑桥 中脑 间脑 发出 神经 共有 十二 支配 心脏 胃肠 活动 颈部 知觉 运动
中枢神经	神经系统 包括 脑 脊髓 主管 全身 感觉运动 条件反射 非 条件反射 用以 比喻 指挥 中心
周围神经	NONE
三叉神经	NONE
舌下神经	NONE
舌咽神经	NONE
神经末梢	神经纤维 轴索 末端 结构 包括 感受器 效应器 两
坐骨神经	体内 一条 神经 自骶丛 两侧 坐骨 大孔 穿 骨盆 大腿 下行 到达 大腿 三分之一 处 分成 胫 神经 腓 神经
神经纤维	动物 体内 传递 兴奋 纤维组织
神经中枢	中枢神经 系统 中 器官 生理 机能 调节作用 部位 用以 比喻 指挥 中心
视神经	NONE
听神经	生理学 名词 第八 脑神经 脑桥 延髓 之间 发出 分布 内耳 主管 听觉
外展神经	第六 对颅 神经 系 运动神经 起自脑 桥下 缘 支配 眼 外直 肌
传出神经	NONE
运动神经	NONE
传入神经	传入神经 形容 结构 间 连结 称为 感觉 神经元 神经 刺激 受体 感觉器官 传送 中枢神经 系统
感觉神经	NONE
自主神经	NONE
潜血	NONE
隐血	又名 潜血 身体 出血 粪便 脑脊液 中 血液 须用 化学试剂 试纸 方可 测出 用眼 显微镜 查出
淤血	名 淤积 血液
抗毒血清	NONE
抗菌血清	NONE
冷汗	紧张 惊惧 疾病 导致 汗出 自觉 冷感
虚汗	体虚 患有 某种 疾病 出汗 现象 休克 昏厥 结核病 出虚汗 症状
生铁	高炉 中 生产 制铁 进一步 精炼 成钢 熟铁 工业 纯铁 熔化 铸造成 形状
铸铁	含碳量 高 铁质 脆 锻压 炼钢 铸造 器物
铣铁	生铁 铸铁
镔铁	泛指 精铁
衔铁	口含 马嚼子
引柴	引火 小块 木柴 竹片 干草 称引 火柴
变性酒精	工业 上用 含 甲醇 酒精 有毒 颜料 使人 辨认
有机染料	做 染料 有机 化合物 天然 人造 两种 靛蓝 海昌 蓝
活性染料	NONE
偶氮染料	NONE
合成染料	NONE
还原染料	一种 须 先 还原 染色 染料 溶于 水在 碱 溶液 中经 还原 可溶性 盐 棉纤维 吸收 再经 氧化 恢复 溶性 染料 色泽 鲜艳 耐洗 耐晒 用于 棉麻 毛 人造纤维 织品 染色 印花 靛蓝
合成橡胶	类似 天然橡胶 弹性 硫化 能力 性质 合成 物质 石油 煤 天然气 电石 原料 聚合作用 共聚 作用 合成 丁苯橡胶 异戊橡胶 合成橡胶 种类 天然橡胶 品种 某种 超过 天然橡胶 特性
有机玻璃	透明 塑料 制成 类似 玻璃 无色 固体 用以 制造 光学 照明 工具 着色 制造 钮扣 牙刷 柄 广告牌
不碎玻璃	NONE
化学工业	NONE
电化学	NONE
分析化学	物理学 化学 中 原理 方法 测定 物质 化学成分 化学 结构 一门 学科 包括 化学分析 法 仪器 分析法 广泛应用 工农业 医卫 国防 环境保护 部门
无机化学	研究 碳 元素 元素 化合物 碳 简单 化合物 构备 性质 变化 制备 用途 化学 分支
有机化学	化学 分支 论述 烃类 衍生物 化学
颗粒肥料	粒肥 过磷酸钙 硝酸铵 化学肥料 制成 有机肥料 过磷酸钙 混合 制成 颗粒状 肥料 幼苗 发育
粒肥	NONE
有机肥料	指 含有 机 物质 肥料 厩肥 堆肥 绿肥 肥效 缓慢 持久 腐殖质 改良 土壤
无机肥料	含有 机 物质 肥料 硫酸铵 过磷酸钙 石灰
速效肥料	分解 植物 吸收 见效 肥料 硫酸铵 腐熟 人粪尿 速效肥料 适于 做 追肥
迟效肥料	NONE
直接肥料	NONE
间接肥料	NONE
细菌肥料	NONE
返青肥	NONE
广厦	高大 房屋
深宅大院	房屋 多厕 围墙 院子 旧时 多指 富贵
红楼	红色 楼 泛指 华美 楼房
雕梁画栋	指有 彩绘 装饰 华丽 房屋
亭台楼阁	泛指 多种 供 游赏 休息 建筑物
亭台楼榭	NONE
破门	砸 开门
雕栏画栋	指有 彩绘 装饰 华丽 房屋
沟沟壑壑	形容 沟壑 极多 比喻 道路 坎坷不平
千山万壑	壑 山沟 山峦 连绵 重迭
沟沟坎坎	西南 方言 沟沟坎坎 难 走 地方 比喻 做事 时所 困难 障碍
沟壑	溪谷 山涧
深沟墩台	NONE
简单机械	NONE
插床	NONE
拉床	NONE
滚珠轴承	一种 轴承 轴 轴承座 圈内 通畅 滚动 硬化 钢球 滑动摩擦 变为 滚动摩擦
球轴承	滚珠轴承
滚柱轴承	一种 轴承 轴颈 时 装在 定位 圈上 滚柱 作 圆周 接触
滚动轴承	轴承 一种 利用 滚珠 滚柱 滚动 运动 滑动 运动 摩擦力 承受 冲击 负荷 不及 滑动轴承 构造 分为 滚珠轴承 滚柱轴承 滚针轴承 三种
滚针轴承	NONE
滑动轴承	轴承 一种 减摩 合金 锡 磷 青铜 合金 制成 圆筒 轴 圆筒 中 滑动 轴 轴承 接触 摩擦力 较大 但因 构造 比较简单 耐冲击
轴承	支承 轴颈 耳轴 枢轴 短轴 部件 轴 摆动 滑动 机器 部件
空气轴承	NONE
排挡	机动车辆 改变 牵引力 车辆 变速 倒行 装置
挡	阻拦 遮蔽 阻 拦 遮
风挡	挡风 围子
唱针	装在 留声机 唱 头上 唱片 槽 纹 接触 振动 放出 声音 针状物
撞针	火器 闭锁 机构 中 撞击 底火 尖销
电视电话	通话 时 显示屏 形象 电话
可视电话	NONE
耢	荆条 编成 一种 农具 长方形 平整土地 称 耱 盖 盖 擦
耱	荆条 编成 一种 农具 功用 耙 称 耢
盖	遮蔽 作用 东西 子锅 瓶 膝 天灵
连枷	作 梿 枷 一种 农具 武术 器具 长 木柄 上装 一排 木条 竹条 可用 打谷 脱粒
滴漏	漏壶 古 计时器
夹剪	夹取 物件 工具 铁制 形似 剪刀 锋刃 头 宽 而平
钻	穿孔 洞 用具 床 头电
量具	实物 量具 简称 一种 时 固定 形态 用以 复现 提供 定量 多个 已知 量值 器具
拖斗	小型 无棚 拖车 挂斗
料斗	柳条 编制 牲口 斗状 器物
背斗	背篓
排筏	杉木 毛竹 编排 成 筏子
排	推开 斥 水 外 挤 山倒海 忧 解难
搭腰	车 具用 皮条 绳子 做成 车辕 套绳 不致 牲口 背上 滑下 用具
无坐力炮	NONE
无座力炮	NONE
明枪暗箭	比喻 种种 公开 隐蔽 攻击
火箭	装有 易燃 混合物 壳体 装置 燃烧 生成 气体 排出 反作用力 发射 空中 用于 燃烧弹 爆破 弹 发射装置 发射 救生 索 捕鲸 鱼叉
运载火箭	携带 物体 火箭 飞行器
运载工具	NONE
充气灯泡	NONE
一针一线	比喻 极微小 东西
锅盖	锅盖 圆形 提纽
坛坛罐罐	坛坛罐罐 形容 旧有 条条框框 规矩
听	耳朵 接受 声音 力 写 觉聆 洗耳 恭
扑满	存钱 瓦器 细长 孔 放入 钱币 打破 取出
包	用纸 布 薄片 东西 裹起来 装 饺子
滚轮	又称 虎伏 运动 器械 一种 若干 铁棍 连接 两个 大小 铁环 制成
虎伏	NONE
羽毛球拍	NONE
网球拍	NONE
乒乓球拍	NONE
拨弦	NONE
丝竹管弦	NONE
琴弦	作 琴絃 琴上 发声 弦线
相纸	感光 印纸
全开	印刷 指 整张 原纸
请帖	书面 出席 参加 卡片
请柬	书面形式 请 出席 参加 卡 帖
礼帖	犹 礼单 指 请柬
沉香	亚热带 常绿 乔木 名 树干 高大 木质 坚硬 香味 可作 细工 用材 薰 香料
扣眼	套住 纽扣 小孔
活结	绳子 滑动 结 绳子 勒紧 绳圈
活扣	口 活结
被褥	被子 褥子 铺盖
铺盖	平铺 覆盖
铺垫	铺 床上 卧具
铺陈	摆设 布置
铺盖卷	卷成 卷儿 被褥 行李卷儿 巴金 家 四十 你底 铺盖卷 打开 被褥 铺 郭小川 钢铁 炼成 诗 年轻力壮 先 回来 丢下 小小的 破烂 铺盖卷 孔厥   袁静 新 儿女 英雄传 第一回 回来 扔下 铺盖卷儿 串门子
同床共枕	指 同床 并头 而眠 多指 夫妻生活
被服	指 被子 褥子 衣服 帽子 鞋袜 统称
漏刻	古 计时器 漏壶 漏壶 箭 上刻 符号表 时间 故称 六韬 分兵 明告 战日 漏刻 汉书 哀帝 纪 漏刻 以百 二十 为度 颜师古   注旧 漏 昼夜 共百刻 增其 二十 南朝   梁   慧皎 高僧 传义 解释 道祖 山中 漏刻 於 泉水 中立 十二 叶 芙蓉 因流 波转 以定 十二时 晷 影无差 宋   彭乘 墨客 挥 犀卷 七国 朝置 天文 院 於 禁中设 漏刻 观天 臺 铜 浑仪 皆 司天监 司天监 检察
漏壶	古时 计时器 传世 漏壶 铜制 分播 水壶 受 水壶 两 播 水壶 三个 置于 台阶 架上 小孔 滴水 下层 流入 受 水壶 受 水壶 里 立箭箭 划分 一百 刻箭 蓄水 露出 刻度 时间
漏	物体 由孔 缝 透过 壶里 水 风渗 ～～ 泄 ａ 水光 流出 透出 ｂ 泄露 电 跑电
铜壶滴漏	铜壶 古代 计时 漏 器用 铜壶 盛水 滴漏 来计 时刻
下摆	衣衫
面食	面粉 做 食品 统称
蟹黄	螃蟹 体内 卵巢 消化腺 橘黄色 味 鲜美
万应灵丹	能治 病 灵药 比喻 一种 解决 疑难问题 办法
轮抗六号	NONE
维生素甲	NONE
抗坏血酸	NONE
子丑寅卯	四个 地支 多指 事理
子午卯酉	NONE
宣统	NONE
嘉靖	谓 美好 教化 安定 平服 书无逸   高宗   荒寧 嘉靖   殷   邦 小大无时 怨 蔡沉   集传嘉美 靖安 嘉靖 礼乐 教化 蔚然 於 安居乐业 之中 嘉靖 达 於 政
顺治	顺从 大治 指 社会 秩序井然 安定
同治	治理 方法
光绪	NONE
昭和	NONE
封建王朝	NONE
分分秒秒	NONE
弹指一挥间	NONE
名震一时	名声 震动 社会
风光一时	NONE
风行一时	风行 象 刮风 流行 形容 事物 时期 盛行
多事之秋	NONE
为时	时机 时间
不失时宜	失 错过 时宜 符合 时势 趋势
到来之际	NONE
上下半场	NONE
时隔	NONE
戎马一生	指 一生 从军 作战
终生不愈	NONE
芳龄	女子 年龄 用于 年轻 女子
虚岁	每过 农历 新年 加 一岁 一种 计算 年龄 方法 小孩 刚生 算 一岁 比实 岁 一至 两岁
享年	敬辞 称 死亡 寿命 享年 六十六岁
适龄	年龄 相符合 适龄儿童 入学
成年	成人 年龄 成熟 时期 男子
长大成人	NONE
春意盎然	NONE
初伏	夏至 第三个 庚日 三伏 中 头伏 第一天
日复一日	NONE
立春	NONE
相位	作 正弦 变化 物理量 某一 时刻 位置 状态 数值
坐标	直线 一点 空间 一点 给定 平面 曲面 一点 位置 次序 一组 数
高高在上	NONE
北上	NONE
南下	NONE
中外古今	国内 国外 古代
广袤无际	边际
一望无边	一眼 看不到 边际 形容 地域 辽阔
大河上下	NONE
江海堤防	NONE
安塞	NONE
点画	指 汉字 点 横直 撇 笔画
保龄球道	NONE
世界市场	NONE
共同市场	若干 国家 政治经济 利益 相互合作 统一 市场
劳务市场	NONE
农贸市场	农村 中 临时 定期 买卖 农副业 产品 手工业 产品 市场 农贸市场 赶集
集贸市场	NONE
菜市场	出售 蔬菜 肉类 副食品 场所
自选市场	NONE
跳蚤市场	原为 西方 国家 城市 中 一种 零售 市场 周末 星期日 晚饭 前 结束 出售 日用 商品 工艺制品 旧书 珠宝 古董 新旧 货物 小商贩 临时 货摊 聚集 摊位 固定 出售 价廉 小商品 故称 现已 东方 世界 城市 中
有事	惹事 变故
明治维新	NONE
坠毁	指 飞机 落下来 毁坏
人身事故	社会活动 中 发生 伤亡事故
责任事故	工厂 矿山 建筑 交通 医疗 部门 工作人员 不负责任 违反 规章制度 公私 财产 遭受 损失 危害 人身安全 事故
工伤事故	工伤事故 又称 劳动 事故 广义 狭义 之分 狭义 国家 人力资源 社会保障部 工伤保险 业务 指南 中 指出 工伤事故 指 工伤保险 条例 用人单位 职工 工作 过程 中 发生 人身 伤害 急性 中毒 事故 本质特征 工作 原因 间接 伤害 急性 中毒 事故
交通事故	NONE
医疗事故	NONE
波折	事情 过程 中所 曲折 变化
曲折	顺当 情节
一波三折	原指 写字 笔法 曲折 变现 比喻 文章 结构 起伏 曲折 比喻 事情 中 意外 变化
反复	翻悔 变化无常
几经周折	指费 很大 波折 尽力 坎坷 获得成功
历经沧桑	饱经 世间 人情世故
饱经沧桑	沧桑 沧海 变 桑田 简缩 泛指 世事 变化 经历 世事 变化 生活 经历
后院起火	比喻 内部 闹矛盾 发生 纠纷 算了吧 这年头 后院起火 更糟
转而	NONE
量变	事物 数量 程度 变化 一种 变化 质变
质变	事物本质 发生 变化 一种 突变
渐变	变化
突变	急剧 变化 改变
急变	紧急 出人意料 事变
巨变	剧烈 变化
惨变	悲惨 变故
形变	固体 外力作用 发生 形状 体积 变化
动乱	社会 骚动 变乱
变乱	战争 暴力行动 混乱
乱	秩序 套紊 凌
骚动	扰乱 安定 秩序 紊乱 城市 中 骚动 跟着 威势 喊声 很快 搅动 蜂窝 骚动 夏衍 包身工
骚扰	安宁 扰乱
扰动	骚动 骚乱
狂飙运动	NONE
比方	易懂 事物 浅显易懂 描述
譬喻	比喻
比喻	NONE
譬	打比方 犹 语 喻 比喻
举例	举出 例子
举例来说	NONE
下不为例	下次 做 通融
嫌疑	猜疑 怀疑
嫌	可疑 之点 疑避 涉
瓜田李下	比喻 嫌疑 场合
破天荒	指 事
开天辟地	古代 神话传说 盘古 氏 开辟 天地 人类 历史 后常 比喻 空前 自古以来
第一遭	NONE
临了	末了
发展前途	NONE
悲欢离合	NONE
生离死别	分离 好像 死者 永别 指 难 再见 离别 永久 离别
祸起萧墙	萧墙 古代 宫室 内当门 小墙 指 祸乱 发生 家里 比喻 内部 发生 祸乱
活罪	人生 遭受 苦难
苦不堪言	堪能 痛苦 困苦 极点 言语 表达
挫折	压制 阻碍 削弱 停顿
失败	预期 目的
失利	打败 输给
沉冤	长期 未 改正 冤案
不白之冤	搞清楚 辩白 洗刷 冤屈
覆盆之冤	翻过来 放 盆子 阳光 照不到 形容 无处 申诉 冤枉
活命之恩	NONE
救命之恩	NONE
再生之恩	NONE
敌我矛盾	敌对 阶级 之间 利害冲突 矛盾
主要矛盾	NONE
廉耻	廉操 知耻
生死荣辱	生存 死亡 荣耀 耻辱
无上光荣	NONE
引以为荣	此事 光荣
千虑一得	愚笨 中 总会 可取 地方 自谦
功不可没	某人 功劳 很大 埋没
言多语失	话 说 难免 说错 地方
有得有失	NONE
一差二错	发生 意外 差错
阴差阳错	比喻 偶然 因素 差错
阴错阳差	比喻 偶然 因素 差错
误会	误解
言差语错	言语 错误 有个 言差语错 责怪
跑题	指 说话 文章 事情 离开 主题 正题
失之偏颇	意同 有失 偏颇 公正 公正 失误 公正
明珠暗投	原意 明亮 珍珠 暗里 投在 路上 使人 惊奇 比喻 得不到 重视 比喻 东西 落入 不识货 手里
直接经验	NONE
生死	生存 死亡
存亡	生存 死亡 灭亡
死活	无论如何 不管怎么 说
阴阳	
生死存亡	生存 死亡 形容 局势 斗争 发展 已到 关头
生老病死	NONE
寄生	一种 生物体 依附 生物体 中 以求 供给 养料 提供 保护 繁衍 得以 生存
戎马一生	指 一生 从军 作战
戎马生涯	指 征战 生活 经历
讹传	事实 事件 相符
敌强我弱	NONE
新低	NONE
势在必行	行做 事情 发展 趋势 采取行动
跌势	跌势 股市 里 一种 说法 指 股价 一段时间 朝新 低价 方向
上山下乡	指 知识青年 农村 山区 边疆 参加 农业 生产 经受 劳动锻炼 如凤田   初中 毕业 毛主席   号召 知识青年 上山下乡 靳 大娘   报了名
冷场	舞台 演出 时 表演 中 停顿 常是 尴尬 停顿
战火纷飞	形容 十分激烈
虚虚实实	NONE
活气	生命力 生命 气息
必要条件	无甲 必无乙有 甲 乙 无乙 甲 乙 必要条件 遵守 逻辑 规则 写不出 文章 遵守 逻辑 规则 写出 文章 写不出 文章 遵守 逻辑 规则 写出 文章 必要条件
充要条件	NONE
先决条件	权利 附 条件 至少 事实 尚待 发生 先决条件 指以 一方 履行 某种 或以 某种 事件 发生 或以 时间 履行义务 前提条件 先决条件 未 履行 承担责任
厄尔尼诺	NONE
夏收	夏日 收获 作物
秋收	秋季 收获 农作物 指 秋天 收获 农作物 秋收 大忙 季节 秋收 去年 强
几分收获	NONE
发酵	有机物 微生物 作用 分解
何用	诗 小雅 节 南山 国 卒 斩 何用 不监 孔颖达   疏 监察 之而令 相伐 穀 梁传 庄公 六年 何用 弗受 王命 絶
配用	两性 偶 ǒ
无功而返	指 成效 回来
异化作用	NONE
同化作用	生物体 新陈代谢 过程 中 食物 中 摄取 养料 转化成 物质 储存 能量 过程 同化作用
毒副作用	NONE
抑菌作用	抑制 细菌 生长 作用
相互作用	一部分 物质 一部分 物质 发生 作用 接触 场时 一部分 物质 反作用
卷吸作用	NONE
光合作用	借助于 借助 红外光 或近 紫外光 化合物 合成作用 尤指 当含 叶绿素 细胞 绿色植物 细胞 照射 时 发生 二氧化碳 氢源 水生成 碳水化合物 过程
光化作用	NONE
光解作用	NONE
成矿作用	NONE
硝化	硝酸 硝酸盐 硝酸 硝酸盐 尤指   有机 化合物   转化成 硝基 化合物 硝酸 酯 如用 硝酸 硫酸 混合物
全反射	NONE
探究反射	NONE
条件反射	条件刺激 反射 非 条件反射 基础 后天 学习 训练 建立
热核反应	轻元素 原子核 高 温度 运动 相互 碰撞 最终 聚变 一种 原子核 过程
可逆反应	NONE
链式反应	铀 钚 重元素 原子核 受 中子 轰击 时 裂变 成 几个 碎片 放出 两个 三个 中子 中子 打入 铀 钚 原子核 裂变 连续不断 核反应 链式反应 链式反应 能量 支链反应 连锁反应
核反应	原子核 变化 过程 铀 蜕变 成 镎 电子 两个 重氢 核 成氦 核
核子反应	核反应 参见 核反应
化学反应	NONE
变态反应	某种 物质 过敏 接触 物质 时 发生 异常 导致 机体 功能 紊乱 功能 损伤
高山反应	海拔 高 地方 空气稀薄 使人 呼吸 不畅 种种 生理 健康人 海拨    千米 头痛 头晕 恶心 呼吸困难 心跳 加快 症状 山晕
放热反应	NONE
支链反应	NONE
炙手可热	NONE
名闻遐迩	名声 传扬 形容 名声 很大
大红大紫	形容 显赫 得意
远近闻名	无论是 远处 近处 听 名字 形容 有名
闻名中外	中国 外国 听到 形容 名声 传播 极远
闻名于世	全世界 无人不知 无人不晓 形容 著名
誉满全球	美好 名声 天下 皆知
受事	接受 职事 职务 句子 里 受 动作 支配 或事物 看报 报猫 捉 老鼠 老鼠 受事 名词 做 句子 宾语 衣服 送来 衣服 受事 做 句子 主语
特指	事物 所属   指定 角色
起根由头	犹言起 根发脚
穷根	穷困 根子 中国 歌谣 资料 红军 穷人 笑 贴 对子 迎   朱   毛 千年 穷根 拔掉 任志浩   潞安 县中苏 友好 集体农庄 成长 若要 翻身 挖掉 偷懒 病 穷根
正本求源	NONE
空口无凭	单凭 嘴 说 凭据 实物 证明
账据	NONE
指向	方位
自然规律	自然界 发展 变化 规律 称 自然法则 毛泽东 青年团 工作 照顾 青年 青年人 弱 老年人 经验 强 生理 机能 退化 眼睛 耳朵 灵 手脚 青年 敏捷 这是 自然规律
自然法则	NONE
勾股定理	周 髀 算经 记载 西周 初年 商高 提出 勾 三股 四弦 勾股定理 特例 勾股定理 直角三角形 斜边 正方形 面积 等于 两 直角 边上 正方形 面积 中国 古代 称 两 直角 边为 勾 股 斜边 弦 勾 三股 四弦五 勾三 平方 九加 股四 平方 十六 等于 弦 平方 二十五 我国 早就 勾股定理 西方 希腊 公元前 六世纪 毕达哥拉斯 时才 发现 理
逆定理	数 互换 理 条件 结论 相逆 定理 定理
欧姆定律	NONE
绝对真理	NONE
相对真理	NONE
辩证逻辑	马克思主义 哲学 组成部分 研究 思维 辩证法 科学 辩证逻辑 把握 研究 事物 总和 事物 矛盾 发展 运动 变化 观察 把握 客观 世界 本质
形式逻辑	思维 形式 规律 科学研究 概念 判断 推理 思维 形式 研究 同一律 矛盾律 排中律 思维 规律 形式逻辑 内容
定义	概念 内涵 语词 意义 做 简要 准确 描述
界说	定义 旧称
